13 Reasons Why,2017,tt1837492
50 Central,2017,tt7261310
60 Days In,2016,tt5564124
9-1-1,2018,tt7235466
A Discovery of Witches,2018,tt2177461
A Million Little Things,2018,tt7608248
A Series of Unfortunate Events,2017,tt4834206
A.P. Bio,2018,tt6461726
Absentia,2011,tt1610996
Active Shooter: America Under Fire,2017,tt7449708
Adam Ruins Everything,2015,tt5034326
All Def Comedy,2016,tt6054328
Altered Carbon,2018,tt2261227
American Chopper: The Series,2003,tt0364779
American Crime Story,2016,tt2788432
American Gods,2017,tt1898069
American Horror Story,2011,tt1844624
American Idol,2002,tt0319931
Angie Tribeca,2016,tt3597790
Animal Kingdom,2010,tt1313092
Arrow,2012,tt2193021
Atlanta,2016,tt4288182
Ballers,2015,tt2891574
Baskets,2016,tt3468798
Below Deck,2013,tt2342499
Berlin Station,2016,tt5191110
Better Call Saul,2015,tt3032476
Big Little Lies,2017,tt3920596
Bill Nye Saves the World,2017,tt6021260
Billions,2016,tt4270492
Black Lightning,2018,tt6045840
Black Mirror,2011,tt2085059
Black-ish,2014,tt3487356
Blindspot,2015,tt4474344
Blood Ties,2013,tt1747958
Blue Bloods,2010,tt1595859
Body Cam,2018,tt9425082
Bosch,2014,tt3502248
Brooklyn Nine-Nine,2013,tt2467372
Bull,2016,tt5827228
Castle Rock,2018,tt6548228
Charmed,1998,tt0158552
Chicago Fire,2012,tt2261391
Chicago Med,2015,tt4655480
Chicago P.D.,2014,tt2805096
Chilling Adventures of Sabrina,2018,tt7569592
Claws,2017,tt5640558
Cleverman,2016,tt4649420
Cobra Kai,2018,tt7221388
Condor,2018,tt6510950
Container Homes,2016,tt5608176
Coroner,2019,tt8593252
Corporate,2018,tt5648202
Counterpart,2017,tt4643084
Criminal Minds,2005,tt0452046
Dark,2017,tt5753856
DC's Legends of Tomorrow,2016,tt4532368
Deep State,2018,tt4785472
Dirty John,2018,tt7945720
Doom Patrol,2019,tt8416494
Dr. Pimple Popper,2018,tt6045142
Drunk History,2013,tt2712612
Dynasty,2017,tt6128300
Easy,2016,tt5562056
Elementary,2012,tt2191671
Empire,2015,tt3228904
Explained,2018,tt8005374
FantomWorks,2013,tt2951514
Fargo,1996,tt0116282
FBI,2018,tt7491982
Fear Factor,2001,tt0278191
Fear the Walking Dead,2015,tt3743822
Filthy Rich,2016,tt5034426
Flip or Flop Atlanta,2017,tt6597216
For The People,2018,tt6437276
Fresh Off the Boat,2015,tt3551096
Frontier,2016,tt4686698
Fuller House,2016,tt3986586
Future Man,2017,tt4975856
Game of Thrones,2011,tt0944947
Genius,2016,tt1703957
Get Shorty,1995,tt0113161
GLOW,2017,tt5770786
God Friended Me,2018,tt7948998
Goliath,2016,tt4687880
Good Girls,2018,tt6474378
Good Trouble,2019,tt7820906
Gotham,2014,tt3749900
Graveyard Carz,2011,tt2078994
Greenleaf,2016,tt4971144
Grey's Anatomy,2005,tt0413573
Grown-ish,2018,tt7018644
Hanna,2011,tt6932244
Happy!,2017,tt2452242
Harlots,2017,tt5761478
Hawaii Five-0,2010,tt1600194
Holmes and Holmes,2016,tt8001366
Homecoming,2018,tt7008682
Homeland,2011,tt1796960
Hot Date,2017,tt7603386
How to Get Away with Murder,2014,tt3205802
I Am Jazz,2015,tt4523638
I Am the Night,2019,tt7186588
I Feel Bad,2018,tt7979042
Impractical Jokers,2011,tt2100976
Impulse,2018,tt6160506
In Contempt,2018,tt7572950
In Search of...,1976,tt0074007
In the Dark,2019,tt7772602
Ink Master: Angels,2017,tt7479160
Insecure,2016,tt5024912
Instinct,1999,tt4124758
Into the Badlands,2015,tt3865236
Into the Dark,2018,tt8427140
iZombie,2015,tt3501584
Jane the Virgin,2014,tt3566726
Killing Time,2013,tt3914240
Kingpin,1996,tt0116778
Knightfall,2017,tt4555364
Krypton,2018,tt4276624
Legacies,2018,tt8103070
Legends of the Lost with Megan Fox,2018,tt8362844
Legion,2010,tt1038686
Lethal Weapon,1987,tt0093409
Life Below Zero,2013,tt2964642
Light as a Feather,2018,tt8619822
Liza on Demand,2018,tt7942804
Lost in Space,1998,tt0120738
Lucifer,2015,tt4052886
