2020-01-26 04:00:23,359 [INFO ]  American Beauty (1999) Has been downloaded, Removing from Radarr...
2020-01-26 04:00:23,363 [DEBUG]  Starting new HTTPS connection (1): cloud.kdata.net.au:443
2020-01-26 04:00:23,611 [DEBUG]  https://cloud.kdata.net.au:443 "DELETE /radarr/api/movie/10046?deleteFiles=false&addExclusion=true HTTP/1.1" 200 None
2020-01-26 04:00:23,634 [INFO ]  Forrest Gump (1994) Has been downloaded, Removing from Radarr...
2020-01-26 04:00:23,637 [DEBUG]  Starting new HTTPS connection (1): cloud.kdata.net.au:443
2020-01-26 04:00:23,830 [DEBUG]  https://cloud.kdata.net.au:443 "DELETE /radarr/api/movie/10047?deleteFiles=false&addExclusion=true HTTP/1.1" 200 None
2020-01-26 04:00:23,836 [INFO ]  One Flew Over the Cuckoo's Nest (1975) is older than 1980, Removing from Radarr...
2020-01-26 04:00:23,838 [DEBUG]  Starting new HTTPS connection (1): cloud.kdata.net.au:443
2020-01-26 04:00:23,927 [DEBUG]  https://cloud.kdata.net.au:443 "DELETE /radarr/api/movie/10047?deleteFiles=false&addExclusion=true HTTP/1.1" 500 None
2020-01-26 04:00:23,932 [DEBUG]  Starting new HTTPS connection (1): cloud.kdata.net.au:443
2020-01-26 04:00:24,423 [DEBUG]  https://cloud.kdata.net.au:443 "DELETE /radarr/api/movie/10048?deleteFiles=false&addExclusion=true HTTP/1.1" 200 None
2020-01-26 04:00:24,426 [INFO ]  Braveheart (1995) Has been downloaded, Removing from Radarr...
2020-01-26 04:00:24,433 [DEBUG]  Starting new HTTPS connection (1): cloud.kdata.net.au:443
2020-01-26 04:00:24,916 [DEBUG]  https://cloud.kdata.net.au:443 "DELETE /radarr/api/movie/10049?deleteFiles=false&addExclusion=true HTTP/1.1" 200 None
2020-01-26 04:00:24,919 [INFO ]  Gladiator (2000) Has been downloaded, Removing from Radarr...
2020-01-26 04:00:24,933 [DEBUG]  Starting new HTTPS connection (1): cloud.kdata.net.au:443
2020-01-26 04:00:25,523 [DEBUG]  https://cloud.kdata.net.au:443 "DELETE /radarr/api/movie/10050?deleteFiles=false&addExclusion=true HTTP/1.1" 200 None
2020-01-26 04:00:25,525 [INFO ]  Scarface (1983) Has been downloaded, Removing from Radarr...
2020-01-26 04:00:25,546 [DEBUG]  Starting new HTTPS connection (1): cloud.kdata.net.au:443
2020-01-26 04:00:25,734 [DEBUG]  https://cloud.kdata.net.au:443 "DELETE /radarr/api/movie/10051?deleteFiles=false&addExclusion=true HTTP/1.1" 200 None
2020-01-26 04:00:25,742 [INFO ]  There Will Be Blood (2007) Has been downloaded, Removing from Radarr...
2020-01-26 04:00:25,746 [DEBUG]  Starting new HTTPS connection (1): cloud.kdata.net.au:443
2020-01-26 04:00:26,241 [DEBUG]  https://cloud.kdata.net.au:443 "DELETE /radarr/api/movie/10052?deleteFiles=false&addExclusion=true HTTP/1.1" 200 None
2020-01-26 04:00:26,250 [INFO ]  The Godfather (1972) is older than 1980, Removing from Radarr...
2020-01-26 04:00:26,254 [DEBUG]  Starting new HTTPS connection (1): cloud.kdata.net.au:443
2020-01-26 04:00:26,342 [DEBUG]  https://cloud.kdata.net.au:443 "DELETE /radarr/api/movie/10052?deleteFiles=false&addExclusion=true HTTP/1.1" 500 None
2020-01-26 04:00:26,352 [DEBUG]  Starting new HTTPS connection (1): cloud.kdata.net.au:443
2020-01-26 04:00:27,101 [DEBUG]  https://cloud.kdata.net.au:443 "DELETE /radarr/api/movie/10053?deleteFiles=false&addExclusion=true HTTP/1.1" 200 None
2020-01-26 04:00:27,109 [INFO ]  The Godfather: Part II (1974) is older than 1980, Removing from Radarr...
2020-01-26 04:00:27,113 [DEBUG]  Starting new HTTPS connection (1): cloud.kdata.net.au:443
2020-01-26 04:00:27,170 [DEBUG]  https://cloud.kdata.net.au:443 "DELETE /radarr/api/movie/10053?deleteFiles=false&addExclusion=true HTTP/1.1" 500 None
2020-01-26 04:00:27,178 [DEBUG]  Starting new HTTPS connection (1): cloud.kdata.net.au:443
2020-01-26 04:00:27,515 [DEBUG]  https://cloud.kdata.net.au:443 "DELETE /radarr/api/movie/10054?deleteFiles=false&addExclusion=true HTTP/1.1" 200 None
2020-01-26 04:00:27,517 [INFO ]  The Pianist (2002) Has been downloaded, Removing from Radarr...
2020-01-26 04:00:27,529 [DEBUG]  Starting new HTTPS connection (1): cloud.kdata.net.au:443
2020-01-26 04:00:27,757 [DEBUG]  https://cloud.kdata.net.au:443 "DELETE /radarr/api/movie/10055?deleteFiles=false&addExclusion=true HTTP/1.1" 200 None
2020-01-26 04:00:27,759 [INFO ]  Downfall (2004) Has been downloaded, Removing from Radarr...
2020-01-26 04:00:27,762 [DEBUG]  Starting new HTTPS connection (1): cloud.kdata.net.au:443
2020-01-26 04:00:27,990 [DEBUG]  https://cloud.kdata.net.au:443 "DELETE /radarr/api/movie/10056?deleteFiles=false&addExclusion=true HTTP/1.1" 200 None
2020-01-26 04:00:27,991 [INFO ]  The Lives of Others (2006) Has been downloaded, Removing from Radarr...
2020-01-26 04:00:27,998 [DEBUG]  Starting new HTTPS connection (1): cloud.kdata.net.au:443
2020-01-26 04:00:28,324 [DEBUG]  https://cloud.kdata.net.au:443 "DELETE /radarr/api/movie/10060?deleteFiles=false&addExclusion=true HTTP/1.1" 200 None
2020-01-26 04:00:28,327 [INFO ]  It's a Wonderful Life (1946) is older than 1980, Removing from Radarr...
2020-01-26 04:00:28,330 [DEBUG]  Starting new HTTPS connection (1): cloud.kdata.net.au:443
2020-01-26 04:00:28,448 [DEBUG]  https://cloud.kdata.net.au:443 "DELETE /radarr/api/movie/10060?deleteFiles=false&addExclusion=true HTTP/1.1" 500 None
2020-01-26 04:00:28,453 [DEBUG]  Starting new HTTPS connection (1): cloud.kdata.net.au:443
2020-01-26 04:00:28,985 [DEBUG]  https://cloud.kdata.net.au:443 "DELETE /radarr/api/movie/10061?deleteFiles=false&addExclusion=true HTTP/1.1" 200 None
2020-01-26 04:00:28,991 [INFO ]  All About Eve (1950) is older than 1980, Removing from Radarr...
2020-01-26 04:00:28,998 [DEBUG]  Starting new HTTPS connection (1): cloud.kdata.net.au:443
2020-01-26 04:00:29,188 [DEBUG]  https://cloud.kdata.net.au:443 "DELETE /radarr/api/movie/10061?deleteFiles=false&addExclusion=true HTTP/1.1" 500 None
2020-01-26 04:00:29,196 [DEBUG]  Starting new HTTPS connection (1): cloud.kdata.net.au:443
2020-01-26 04:00:29,404 [DEBUG]  https://cloud.kdata.net.au:443 "DELETE /radarr/api/movie/10066?deleteFiles=false&addExclusion=true HTTP/1.1" 200 None
2020-01-26 04:00:29,421 [INFO ]  The Sting (1973) is older than 1980, Removing from Radarr...
2020-01-26 04:00:29,426 [DEBUG]  Starting new HTTPS connection (1): cloud.kdata.net.au:443
2020-01-26 04:00:29,591 [DEBUG]  https://cloud.kdata.net.au:443 "DELETE /radarr/api/movie/10066?deleteFiles=false&addExclusion=true HTTP/1.1" 500 None
2020-01-26 04:00:29,598 [DEBUG]  Starting new HTTPS connection (1): cloud.kdata.net.au:443
2020-01-26 04:00:29,970 [DEBUG]  https://cloud.kdata.net.au:443 "DELETE /radarr/api/movie/10068?deleteFiles=false&addExclusion=true HTTP/1.1" 200 None
2020-01-26 04:00:29,973 [INFO ]  As Good as It Gets (1997) Has been downloaded, Removing from Radarr...
2020-01-26 04:00:29,977 [DEBUG]  Starting new HTTPS connection (1): cloud.kdata.net.au:443
2020-01-26 04:00:30,725 [DEBUG]  https://cloud.kdata.net.au:443 "DELETE /radarr/api/movie/10069?deleteFiles=false&addExclusion=true HTTP/1.1" 200 None
2020-01-26 04:00:30,738 [INFO ]  Groundhog Day (1993) Has been downloaded, Removing from Radarr...
2020-01-26 04:00:30,782 [DEBUG]  Starting new HTTPS connection (1): cloud.kdata.net.au:443
2020-01-26 04:00:31,184 [DEBUG]  https://cloud.kdata.net.au:443 "DELETE /radarr/api/movie/10070?deleteFiles=false&addExclusion=true HTTP/1.1" 200 None
2020-01-26 04:00:31,188 [INFO ]  Fight Club (1999) Has been downloaded, Removing from Radarr...
2020-01-26 04:00:31,191 [DEBUG]  Starting new HTTPS connection (1): cloud.kdata.net.au:443
2020-01-26 04:00:31,711 [DEBUG]  https://cloud.kdata.net.au:443 "DELETE /radarr/api/movie/10071?deleteFiles=false&addExclusion=true HTTP/1.1" 200 None
2020-01-26 04:00:31,714 [INFO ]  Gattaca (1997) Has been downloaded, Removing from Radarr...
2020-01-26 04:00:31,718 [DEBUG]  Starting new HTTPS connection (1): cloud.kdata.net.au:443
2020-01-26 04:00:31,930 [DEBUG]  https://cloud.kdata.net.au:443 "DELETE /radarr/api/movie/10072?deleteFiles=false&addExclusion=true HTTP/1.1" 200 None
2020-01-26 04:00:31,932 [INFO ]  The Matrix (1999) Has been downloaded, Removing from Radarr...
2020-01-26 04:00:31,936 [DEBUG]  Starting new HTTPS connection (1): cloud.kdata.net.au:443
2020-01-26 04:00:32,330 [DEBUG]  https://cloud.kdata.net.au:443 "DELETE /radarr/api/movie/10073?deleteFiles=false&addExclusion=true HTTP/1.1" 200 None
2020-01-26 04:00:32,333 [INFO ]  The Lord of the Rings: The Fellowship of the Ring (2001) Has been downloaded, Removing from Radarr...
2020-01-26 04:00:32,347 [DEBUG]  Starting new HTTPS connection (1): cloud.kdata.net.au:443
2020-01-26 04:00:32,579 [DEBUG]  https://cloud.kdata.net.au:443 "DELETE /radarr/api/movie/10074?deleteFiles=false&addExclusion=true HTTP/1.1" 200 None
2020-01-26 04:00:32,583 [INFO ]  The Lord of the Rings: The Two Towers (2002) Has been downloaded, Removing from Radarr...
2020-01-26 04:00:32,595 [DEBUG]  Starting new HTTPS connection (1): cloud.kdata.net.au:443
2020-01-26 04:00:33,025 [DEBUG]  https://cloud.kdata.net.au:443 "DELETE /radarr/api/movie/10075?deleteFiles=false&addExclusion=true HTTP/1.1" 200 None
2020-01-26 04:00:33,029 [INFO ]  The Lord of the Rings: The Return of the King (2003) Has been downloaded, Removing from Radarr...
2020-01-26 04:00:33,036 [DEBUG]  Starting new HTTPS connection (1): cloud.kdata.net.au:443
2020-01-26 04:00:33,307 [DEBUG]  https://cloud.kdata.net.au:443 "DELETE /radarr/api/movie/10076?deleteFiles=false&addExclusion=true HTTP/1.1" 200 None
2020-01-26 04:00:33,310 [INFO ]  Avatar (2009) Has been downloaded, Removing from Radarr...
2020-01-26 04:00:33,319 [DEBUG]  Starting new HTTPS connection (1): cloud.kdata.net.au:443
2020-01-26 04:00:33,574 [DEBUG]  https://cloud.kdata.net.au:443 "DELETE /radarr/api/movie/10077?deleteFiles=false&addExclusion=true HTTP/1.1" 200 None
2020-01-26 04:00:33,590 [INFO ]  Pan's Labyrinth (2006) Has been downloaded, Removing from Radarr...
2020-01-26 04:00:33,594 [DEBUG]  Starting new HTTPS connection (1): cloud.kdata.net.au:443
2020-01-26 04:00:33,994 [DEBUG]  https://cloud.kdata.net.au:443 "DELETE /radarr/api/movie/10078?deleteFiles=false&addExclusion=true HTTP/1.1" 200 None
2020-01-26 04:00:33,998 [INFO ]  Syriana (2005) Has been downloaded, Removing from Radarr...
2020-01-26 04:00:34,001 [DEBUG]  Starting new HTTPS connection (1): cloud.kdata.net.au:443
2020-01-26 04:00:34,414 [DEBUG]  https://cloud.kdata.net.au:443 "DELETE /radarr/api/movie/10079?deleteFiles=false&addExclusion=true HTTP/1.1" 200 None
2020-01-26 04:00:34,418 [INFO ]  The Talented Mr. Ripley (1999) Has been downloaded, Removing from Radarr...
2020-01-26 04:00:34,420 [DEBUG]  Starting new HTTPS connection (1): cloud.kdata.net.au:443
2020-01-26 04:00:34,693 [DEBUG]  https://cloud.kdata.net.au:443 "DELETE /radarr/api/movie/10080?deleteFiles=false&addExclusion=true HTTP/1.1" 200 None
2020-01-26 04:00:34,695 [INFO ]  Heat (1995) Has been downloaded, Removing from Radarr...
2020-01-26 04:00:34,699 [DEBUG]  Starting new HTTPS connection (1): cloud.kdata.net.au:443
2020-01-26 04:00:35,290 [DEBUG]  https://cloud.kdata.net.au:443 "DELETE /radarr/api/movie/10082?deleteFiles=false&addExclusion=true HTTP/1.1" 200 None
2020-01-26 04:00:35,293 [INFO ]  GoodFellas (1990) Has been downloaded, Removing from Radarr...
2020-01-26 04:00:35,302 [DEBUG]  Starting new HTTPS connection (1): cloud.kdata.net.au:443
2020-01-26 04:00:35,499 [DEBUG]  https://cloud.kdata.net.au:443 "DELETE /radarr/api/movie/10083?deleteFiles=false&addExclusion=true HTTP/1.1" 200 None
2020-01-26 04:00:35,502 [INFO ]  Casino (1995) Has been downloaded, Removing from Radarr...
2020-01-26 04:00:35,517 [DEBUG]  Starting new HTTPS connection (1): cloud.kdata.net.au:443
